Aggregating data for Patches: ['16.5', '16.4', '16.3', '16.2', '16.1'] and Tiers: ['emerald', 'diamond']...
Aggregation complete. Analyzed 10 files.


=== 0 - 15 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
57    senna                52.98%    71794
58    vi                   52.92%    68934
59    nami                 52.89%   219802
60    graves               52.89%    94386
61    gangplank            52.88%    88958
62    kayn                 52.84%    87056
63    briar                52.79%    71621
64    janna                52.77%    61903
65    khazix               52.76%   151928
66    nautilus             52.75%   133766
67    malphite             52.71%    93768
68    kindred              52.64%    27970
69    wukong               52.61%    39075
70    aurora               52.56%    43172
71    lillia               52.52%    44101
72    lissandra            52.51%    45639
73    kogmaw               52.46%    26649
74    skarner              52.46%     8003
75    ahri                 52.44%   169857
76    thresh               52.40%   191992
77    caitlyn              52.39%   283733
78    vex                  52.38%    43858
79    alistar              52.34%    58829
80    rell                 52.33%    35552
81    jarvaniv             52.27%    87422
82    twistedfate          52.25%    68209
83    jhin                 52.17%   230703
84    fizz                 52.15%    65085
85    nocturne             52.15%    69878
86    syndra               52.13%    99480
87    ashe                 52.11%   104927
88    mordekaiser          52.09%    86869
89    yunara               52.04%   118621
90    garen                52.01%    96080
91    kennen               52.00%    42227
92    blitzcrank           51.97%    76699
93    viego                51.91%   194727
94    leona                51.86%   103912
95    nunu                 51.82%    38887
96    fiora                51.81%    51051
97    lucian               51.81%   140439
98    cassiopeia           51.67%    18532
99    hwei                 51.66%    52329
100   volibear             51.65%    61813
101   karthus              51.62%    24862
102   darius               51.60%    94057
103   morgana              51.60%    77327
104   qiyana               51.57%    36555
105   warwick              51.55%    34256
106   azir                 51.45%    31005
107   heimerdinger         51.38%    14925
108   zed                  51.35%   114530
109   reksai               51.33%    32212
110   poppy                51.31%    24686
111   rumble               51.26%    40697
112   camille              51.24%    34362
113   yone                 51.23%    72188
114   udyr                 51.22%    23528
115   viktor               51.20%   102468
116   olaf                 51.17%    29728
117   ekko                 51.16%   112398
118   akshan               51.10%    42211
119   brand                51.09%    48131
120   elise                51.00%    34966
121   orianna              50.97%    72841
122   zyra                 50.95%    47869
123   jax                  50.77%    91352
124   sylas                50.69%    87041
125   draven               50.66%    53366
126   ambessa              50.65%    60892
127   gnar                 50.64%    55869
128   yasuo                50.56%   125506
129   tahmkench            50.45%    30335
130   aatrox               50.40%    98306
131   taliyah              50.39%    30236
132   anivia               50.32%    48034
133   leblanc              50.30%    65353
134   akali                50.16%   113471
135   bard                 50.12%    93659
136   naafiri              50.08%    52673
137   katarina             50.07%   101668
138   ryze                 50.07%    74798
139   sion                 50.07%    71299
140   zoe                  50.05%    52453
141   belveth              49.98%    17645
142   urgot                49.86%    41696
143   karma                49.80%   142851
144   tryndamere           49.64%    32895
145   renekton             49.58%    80386
146   shyvana              49.45%    15900
147   talon                49.38%    57337
148   gragas               49.20%    28355
149   diana                49.15%   105971
150   kaisa                49.13%   244789
151   neeko                49.10%    41627
152   nidalee              49.07%    24419
153   velkoz               49.06%    47902
154   mel                  48.99%    66600
155   hecarim              48.90%    45821
156   pyke                 48.84%    85316
157   kled                 48.83%    23935
158   lux                  48.81%    83333
159   swain                48.75%    42764
160   illaoi               48.51%    32470
161   ziggs                48.31%    27919
162   corki                48.28%    52967
163   leesin               48.26%   146531
164   pantheon             48.05%    38585
165   trundle              48.02%    16619
166   jayce                47.94%    72846
167   ksante               47.70%    53062
168   kalista              47.62%    10692
169   irelia               47.40%    58402
170   yorick               46.91%    47353
171   varus                46.73%    79713
172   ezreal               45.32%   225401

=== 40+ min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     kayle                60.84%    23324
2     aurelionsol          59.68%    19707
3     twitch               58.74%    40516
4     yuumi                58.01%    18854
5     nilah                57.16%     8550
6     rammus               57.03%    10889
7     shaco                56.92%    38285
8     veigar               56.82%    30554
9     milio                56.74%    43212
10    smolder              56.20%    79152
11    vladimir             56.13%    14437
12    evelynn              55.97%    16375
13    gwen                 55.89%    18283
14    ornn                 55.50%    28544
15    annie                55.49%     9602
16    sona                 55.44%    27187
17    sett                 55.26%    31591
18    jinx                 55.19%    74275
19    aphelios             54.98%    49601
20    teemo                54.89%    22340
21    soraka               54.84%    27354
22    fiora                54.83%    18402
23    renata               54.80%     6672
24    braum                54.78%    44290
25    amumu                54.73%    15379
26    zaahen               54.52%    29464
27    seraphine            54.43%    25360
28    taric                54.36%     5265
29    sivir                54.33%    44000
30    zeri                 54.30%    11612
31    xerath               54.25%    34180
32    senna                54.18%    27848
33    caitlyn              54.14%   115256
34    quinn                54.13%     6937
35    zilean               54.11%    18038
36    chogath              54.11%    17249
37    nasus                54.09%    20568
38    missfortune          54.07%    54758
39    karthus              54.04%    11807
40    fiddlesticks         53.90%    20840
41    xayah                53.89%    21976
42    janna                53.83%    23241
43    kindred              53.81%    10574
44    kassadin             53.78%    21430
45    vayne                53.63%    37663
46    galio                53.60%    19612
47    samira               53.59%    23276
48    zac                  53.57%    17011
49    rakan                53.51%    18004
50    lillia               53.51%    17168
51    aurora               53.48%    17017
52    heimerdinger         53.47%     7242
53    skarner              53.45%     2954
54    riven                53.44%    21647
55    drmundo              53.39%    21001
56    jhin                 53.25%    97387
57    rengar               53.23%    26701
58    masteryi             53.19%    25219
59    fizz                 53.19%    25240
60    kayn                 53.16%    36366
61    sejuani              53.15%    10382
62    lulu                 53.15%    48541
63    malzahar             53.03%    38990
64    tristana             53.02%    20872
65    vi                   53.01%    24714
66    briar                53.00%    26079
67    xinzhao              52.93%    22645
68    camille              52.75%    12160
69    ekko                 52.73%    44477
70    yone                 52.71%    26551
71    mordekaiser          52.69%    34619
72    nautilus             52.65%    44431
73    maokai               52.64%    10021
74    vex                  52.61%    16520
75    singed               52.56%    16761
76    viego                52.47%    73051
77    yunara               52.45%    41462
78    nami                 52.40%    83776
79    garen                52.39%    38881
80    alistar              52.39%    20295
81    azir                 52.32%    11486
82    hwei                 52.25%    23240
83    elise                52.25%    13649
84    ashe                 52.21%    38631
85    kennen               52.17%    16133
86    qiyana               52.15%    13956
87    tahmkench            52.11%    11155
88    nocturne             52.11%    26660
89    graves               52.09%    38754
90    zyra                 52.09%    23330
91    wukong               52.07%    14860
92    shen                 52.07%    20656
93    ahri                 51.95%    64312
94    morgana              51.94%    34014
95    udyr                 51.93%     8995
96    reksai               51.92%    11572
97    gangplank            51.87%    40113
98    yasuo                51.85%    44094
99    lucian               51.83%    50397
100   lissandra            51.78%    16611
101   darius               51.75%    38071
102   trundle              51.61%     5952
103   blitzcrank           51.61%    28125
104   ryze                 51.57%    26589
105   orianna              51.56%    27923
106   nunu                 51.55%    13668
107   thresh               51.51%    71104
108   warwick              51.50%    12809
109   olaf                 51.47%    11177
110   poppy                51.45%    10000
111   twistedfate          51.41%    22893
112   viktor               51.38%    42370
113   khazix               51.36%    63406
114   rumble               51.34%    16531
115   cassiopeia           51.32%     7252
116   kogmaw               51.32%    11020
117   akshan               51.30%    15929
118   malphite             51.30%    35805
119   jarvaniv             51.29%    30646
120   mel                  51.27%    28428
121   tryndamere           51.27%    13376
122   syndra               51.26%    40885
123   rell                 51.21%    12156
124   swain                51.14%    16729
125   brand                51.13%    22907
126   jax                  51.05%    33242
127   lux                  51.03%    39570
128   belveth              51.00%     5694
129   nidalee              50.98%     9429
130   ambessa              50.94%    22986
131   gnar                 50.90%    21084
132   ivern                50.87%     6586
133   leona                50.78%    37153
134   volibear             50.75%    22096
135   taliyah              50.66%    11456
136   illaoi               50.64%    13865
137   pantheon             50.60%    14554
138   urgot                50.60%    16702
139   leblanc              50.57%    26373
140   sion                 50.53%    28160
141   zed                  50.51%    48054
142   aatrox               50.50%    36777
143   zoe                  50.47%    20654
144   katarina             50.37%    36568
145   draven               50.34%    19459
146   velkoz               50.25%    23771
147   kled                 50.22%     8415
148   sylas                50.15%    28768
149   anivia               50.14%    19445
150   diana                50.14%    36725
151   shyvana              50.12%     5922
152   renekton             49.93%    30565
153   karma                49.77%    56172
154   akali                49.60%    43636
155   bard                 49.58%    36166
156   leesin               49.41%    53522
157   corki                49.39%    21071
158   ksante               49.37%    20192
159   naafiri              49.33%    19832
160   neeko                49.30%    16365
161   gragas               48.83%    11276
162   ziggs                48.51%    14257
163   yorick               48.50%    18363
164   hecarim              48.30%    15899
165   irelia               48.10%    20292
166   talon                48.08%    24954
167   kalista              47.94%     3525
168   kaisa                47.93%    85516
169   pyke                 47.90%    32997
170   jayce                46.77%    29239
171   varus                45.33%    34127
172   ezreal               45.10%    91073
