Aggregating data for Patches: ['16.5', '16.4', '16.3', '16.2', '16.1'] and Tiers: ['emerald', 'diamond']...
Aggregation complete. Analyzed 10 files.


=== 0 - 15 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
39    mordekaiser          54.97%    47444
40    nocturne             54.96%    35941
41    tryndamere           54.89%    21842
42    thresh               54.67%   127744
43    zac                  54.60%    31406
44    aatrox               54.40%    73685
45    nilah                54.40%    17002
46    ksante               54.19%    39178
47    jhin                 54.00%   125650
48    mel                  53.97%    34752
49    leona                53.86%    69975
50    varus                53.75%    48839
51    pantheon             53.74%    22110
52    karthus              53.74%    14055
53    anivia               53.74%    29275
54    tristana             53.63%    38757
55    belveth              53.63%    15919
56    renekton             53.49%    57273
57    kennen               53.45%    28325
58    olaf                 53.44%    22106
59    soraka               53.42%    45173
60    morgana              53.38%    38840
61    karma                53.16%    96633
62    darius               53.14%    55782
63    ivern                53.11%    10362
64    nami                 53.08%   118521
65    nidalee              53.06%    23539
66    lucian               53.05%   104508
67    ekko                 52.92%    67884
68    vayne                52.89%    50865
69    neeko                52.88%    27967
70    blitzcrank           52.83%    53447
71    diana                52.71%    71814
72    bard                 52.71%    56963
73    draven               52.70%    37958
74    viego                52.66%   121102
75    khazix               52.59%    88280
76    sion                 52.59%    35611
77    zyra                 52.57%    20344
78    gnar                 52.53%    38610
79    sejuani              52.41%    15477
80    garen                52.32%    51354
81    sylas                52.29%    76667
82    masteryi             52.15%    42195
83    poppy                52.14%    15839
84    urgot                52.12%    21231
85    taric                52.10%    12255
86    gangplank            51.99%    44799
87    amumu                51.98%    17471
88    twitch               51.81%    49374
89    ahri                 51.73%   107172
90    jarvaniv             51.70%    57729
91    xayah                51.62%    36727
92    lissandra            51.59%    27919
93    ezreal               51.59%   167150
94    talon                51.58%    30484
95    quinn                51.54%     8301
96    lillia               51.47%    26599
97    rammus               51.43%    13845
98    kindred              51.41%    20712
99    yasuo                51.39%    80024
100   corki                51.26%    29804
101   udyr                 51.25%    13667
102   gragas               51.21%    17330
103   skarner              51.06%     4465
104   jinx                 51.04%   152932
105   seraphine            51.04%    37707
106   janna                51.02%    35385
107   camille              51.02%    23040
108   ashe                 50.83%    67765
109   volibear             50.68%    38276
110   brand                50.64%    19455
111   braum                50.53%    93343
112   sett                 50.52%    45525
113   jax                  50.49%    65904
114   trundle              50.49%    10440
115   zilean               50.45%    23968
116   aurora               50.43%    28398
117   fiora                50.38%    37145
118   lulu                 50.12%   102955
119   missfortune          50.08%    73726
120   jayce                50.04%    55631
121   caitlyn              50.00%   162836
122   vladimir             49.86%    25712
123   maokai               49.68%    15147
124   sivir                49.63%    76338
125   singed               49.57%    21277
126   nautilus             49.46%   104385
127   kalista              49.39%     9363
128   ambessa              49.38%    43731
129   kaisa                49.29%   171199
130   twistedfate          49.07%    51827
131   xinzhao              48.78%    57753
132   drmundo              48.70%    32458
133   teemo                48.62%    20855
134   riven                48.59%    37412
135   wukong               48.20%    23629
136   rumble               48.10%    29051
137   viktor               48.09%    64696
138   rell                 48.07%    25553
139   kayn                 47.94%    39321
140   yuumi                47.71%    55606
141   shyvana              47.68%     9338
142   graves               47.49%    64763
143   chogath              47.48%    18525
144   rengar               47.44%    33283
145   yunara               47.43%    91493
146   hwei                 47.41%    27752
147   senna                47.33%    41825
148   kayle                47.15%    32325
149   galio                47.07%    42673
150   vi                   46.84%    54479
151   milio                46.40%    64037
152   yone                 46.20%    52164
153   gwen                 46.20%    33064
154   alistar              46.18%    46487
155   zaahen               46.18%    55127
156   sona                 45.96%    49582
157   veigar               45.95%    29019
158   ornn                 45.93%    39931
159   cassiopeia           45.93%    11984
160   rakan                45.92%    38216
161   syndra               45.76%    51421
162   kassadin             45.74%    33278
163   aphelios             45.39%   102551
164   orianna              44.90%    53897
165   renata               44.74%     9390
166   zeri                 44.72%    22158
167   taliyah              44.09%    21125
168   malzahar             43.20%    46341
169   aurelionsol          43.10%    20966
170   annie                42.02%    12793
171   ryze                 41.67%    51454
172   azir                 38.49%    20210

=== 20 - 25 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     ziggs                61.00%    21750
2     yorick               59.26%    59556
3     irelia               59.24%    81891
4     kled                 59.09%    30873
5     belveth              58.54%    33982
6     velkoz               58.31%    33399
7     illaoi               58.12%    31474
8     diana                57.98%   142693
9     nunu                 57.67%    50863
